NOMBRE,TIPO,LATITUD,LONGITUD,DIRECCION
BELLA VISTA DINDALITO MENORES B,Deporte,4.64422517395805,-74.1747579225397,CALLE 42 SUR # 94B-15
BELLA VISTA DINDALITO MAYORES B,Deporte,4.64422517395805,-74.1747579225397,CALLE 42 SUR # 94B-15
BELLA VISTA DINDALITO MAYORES JORNADA MAÑANA,Deporte,4.64422517395805,-74.1747579225397,CALLE 42 SUR # 94B-15
"PARQUE LEONARD EULER
GRUPO FEMENINO",Deporte,4.64014425616158,-74.1695580937035,"Cra. 77q #53-14, Kennedy, Bogotá"
CONTRAUNIDOS,Deporte,4.64070170031301,-74.159557136031,"CALLE. 2 # 87-15 SUR,"
VILLA NUEVA,Deporte,4.60282465706229,-74.1400991937036,CALLE 39D Sur No  68G-80
CALIFORNIA CENTRAL,Deporte,4.61909337519593,-74.1490425783587,CARRERA 73D · 10
"PARQUE UNIR 1 
JORNADA TARDE",Deporte,4.64235051265595,-74.1669044225396,CARRERA 89D # 1A -75SUR
ANDA LUCIA 1,Deporte,4.65420441222831,-74.1393049648672,CALLE 13D # 82 A
TINTALITO,Deporte,4.63065865314761,-74.1707508071949,CALLE. 42G Sur # 86C-10
ROMA 4,Deporte,4.61170294679206,-74.170302955819,CALLE 53 B SUR # 78J BIS 34
GRAN BRITALIA,Deporte,4.62296308009012,-74.1700213918502,"Cl. 46 Sur # 81B - 24, Bogotá"
VILLA ANDREA,Deporte,4.62299407715996,-74.1765262783587,"Cl. 51c Sur #6, Bogotá"
VILLA DE LA TORRE,Deporte,4.62623139394955,-74.1669657765739,CARRERA 80J · 42F - 34 SUR
MANDALAY,Deporte,4.62202139851614,-74.1431866648674,0
SUPER MANZANA 8A CATEGORIA MENORES,Deporte,4.62062103855552,-74.1560348495225,CARRERA. 78J # 40B SUR 84
SUPER MANZANA 8A CATEGORIA JUVENIL,Deporte,4.62062103855552,-74.1560348495225,CARRERA. 78J # 40B SUR 84
TIMIZA STA CATALINA,Deporte,4.61263086428549,-74.1581700161851,CALLE 45 SUR CON 72U
