clase_fa,archivos,lucide_propuesto,confianza,revisar_a_mano,ejemplos
fa-user-circle,2,,sin-candidato,sí,frontend/src/app/core/layout/topbar/topbar.component.html | frontend/src/app/features/perfil/perfil.component.ts
fa-users-gear,2,,sin-candidato,sí,frontend/src/app/features/admin/admin-accesos.component.ts | frontend/src/app/features/admin/admin-hub.component.ts
fa-venus,2,Venus,exacto,no,apps/caracterizacion/sectores.py | frontend/src/app/features/caracterizacion/caracterizacion.types.ts
fa-wand-magic-sparkles,2,,sin-candidato,sí,frontend/src/app/features/ia/analitica.component.ts | frontend/src/app/features/ia/ia.component.ts
fa-xmark,2,X,sinonimo,sí,frontend/src/app/features/cursos/curso-detalle.component.ts | frontend/src/app/features/festivales/festival-detalle.component.ts
fa-arrow-up-from-bracket,1,,sin-candidato,sí,frontend/src/app/features/presupuesto/actividades-subgrupo.component.ts
fa-arrow-up-right-from-square,1,,sin-candidato,sí,frontend/src/app/features/festivales/festival-detalle.component.ts
fa-award,1,Award,exacto,no,apps/login/services/captura_schema.py
fa-bar-chart,1,,sin-candidato,sí,frontend/src/app/features/publico/caracterizacion-publico.component.ts
fa-book-open,1,BookOpen,exacto,no,frontend/src/app/features/jovenes-a-la-e/entrega-detail.component.ts
fa-bookmark,1,Bookmark,exacto,no,frontend/src/app/features/publico/jovenes-publico.component.ts
fa-box-archive,1,,sin-candidato,sí,frontend/src/app/features/cursos/cursos-list.component.ts
fa-boxes-stacked,1,,sin-candidato,sí,frontend/src/app/features/entregas/entrega-detail.component.ts
fa-bullhorn,1,,sin-candidato,sí,frontend/src/app/features/publico/caracterizacion-publico.component.ts
fa-calendar-alt,1,,sin-candidato,sí,frontend/src/app/features/presupuesto/presupuesto-dashboard.component.ts
fa-calendar-day,1,,sin-candidato,sí,frontend/src/app/features/infraestructura/infra-detalle.component.ts
fa-calendar-days,1,CalendarDays,exacto,no,frontend/src/app/features/festivales/festival-detalle.component.ts
fa-calendar-times,1,,sin-candidato,sí,frontend/src/app/features/cursos/curso-detalle.component.ts
fa-chart-bar,1,ChartBar,exacto,no,frontend/src/app/features/banco-iniciativas/inscripcion-detail.component.ts
fa-chart-column,1,ChartColumn,exacto,no,frontend/src/app/features/educacion/colegios-list.component.ts
fa-chart-simple,1,,sin-candidato,sí,frontend/src/app/features/captura/captura-insights.component.ts
fa-check-square-o,1,,sin-candidato,sí,frontend/src/app/features/publico/jovenes-publico.component.ts
fa-check-to-slot,1,,sin-candidato,sí,frontend/src/app/features/votaciones/votaciones-votantes.component.ts
